"Date" "VolksWagen" "BMW" "Allianz"
"2013-03-17" 134.106323 55.887218 79.520744
"2013-03-24" 132.169952 54.056168 77.295616
"2013-03-31" 131.044128 53.253071 76.821426
"2013-04-07" 126.450806 54.128448 78.280518
"2013-04-14" 122.713142 52.072529 75.617661
"2013-04-21" 128.071991 55.108219 80.979828
"2013-04-28" 139.545349 57.919044 84.773491
"2013-05-05" 138.761124 57.694176 85.247704
"2013-05-12" 148.033401 57.766453 90.63298
"2013-05-19" 151.308685 58.932926 88.738472
"2013-05-26" 152.27742 61.269291 90.746658
"2013-06-02" 149.601837 60.030434 88.586922
"2013-06-09" 143.051285 58.226192 86.389297
"2013-06-16" 133.871262 53.511898 79.94799
"2013-06-23" 138.161423 55.856579 85.063148
"2013-06-30" 139.499222 55.041756 83.774879
"2013-07-07" 148.356323 58.633606 87.867012
"2013-07-14" 151.493195 60.055386 89.155266
"2013-07-21" 152.508087 61.660076 88.890045
"2013-07-28" 160.903885 60.263245 90.822433
"2013-08-04" 161.96489 60.113586 90.064629
"2013-08-11" 164.179153 62.799152 87.601784
"2013-08-18" 163.348801 62.691074 86.048294
"2013-08-25" 155.18367 59.273823 82.145615
"2013-09-01" 154.076523 64.603394 84.873703
"2013-09-08" 162.426193 66.432571 85.442047
"2013-09-15" 155.18367 66.906494 88.397469
"2013-09-22" 156.659851 66.598869 89.231049
"2013-09-29" 151.216415 66.249649 88.96582
"2013-10-06" 155.322052 67.130989 90.519318
"2013-10-13" 157.951477 68.203552 93.436852
"2013-10-20" 157.213394 69.558807 93.664185
"2013-10-27" 167.085388 68.744003 93.550514
"2013-11-03" 169.760941 67.987373 94.156761
"2013-11-10" 171.421661 67.804459 97.112175
"2013-11-17" 173.589798 69.650269 96.013367
"2013-11-24" 176.818954 70.315437 96.884834
"2013-12-01" 171.790695 68.295013 94.876671
"2013-12-08" 168.146393 66.34111 93.057945
"2013-12-15" 175.804077 69.833183 97.604752
"2013-12-22" 180.832336 71.022156 99.120346
"2013-12-29" 177.879974 69.824883 96.922729
"2014-01-05" 179.817444 69.134773 97.869972
"2014-01-12" 182.077866 71.678993 101.469521
"2014-01-19" 170.683578 68.153671 94.53566
"2014-01-26" 166.393433 67.197502 93.815758
"2014-02-02" 168.377045 68.012321 95.558685
"2014-02-09" 180.647797 71.504402 98.248871
"2014-02-16" 178.987106 70.855873 97.832092
"2014-02-23" 170.775848 70.00779 98.286766
"2014-03-02" 165.793716 68.06221 94.118858
"2014-03-09" 160.765472 65.900444 91.315002
"2014-03-16" 160.903885 73.49987 90.936111
"2014-03-23" 170.176132 76.684311 93.209511
"2014-03-30" 172.85173 78.03125 93.626297
"2014-04-06" 175.481155 75.004791 90.557205
"2014-04-13" 176.449921 76.59285 90.216202
"2014-04-20" 174.512436 74.464348 91.883347
"2014-04-27" 173.958862 74.023689 94.043083
"2014-05-04" 173.866592 73.267059 91.580223
"2014-05-11" 172.113632 71.861923 96.017281
"2014-05-18" 180.447098 77.002655 96.373344
"2014-05-25" 182.191238 78.896011 98.430565
"2014-06-01" 182.804031 79.572838 98.03495
"2014-06-08" 182.04982 77.756569 97.995392
"2014-06-15" 183.558258 79.298676 97.32283
"2014-06-22" 178.514435 79.127335 96.056847
"2014-06-29" 180.352829 81.517601 99.459183
"2014-07-06" 173.706253 78.878883 101.041664
"2014-07-13" 173.093475 80.19825 102.584595
"2014-07-20" 169.180954 80.789383 101.951607
"2014-07-27" 161.120224 75.07502 97.085457
"2014-08-03" 154.992172 74.012672 96.452461
